signal_index,signal_id,canonical_name,archive_name,dalia_name,aliases,signal_group,scientific_description,units,units_status,units_evidence_class,dimensional_signature,semantic_type,is_dimensionless,sign_convention,source_classification,origin_evidence_class,direct_or_derived_status,source_path,available_shots,native_dt_median,finite_fraction_min,provenance_status,notes
46,ece5,ece5,ece5_data / ece5_times,ece5,,ece_te_profile,ECE radiometer channel 5,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
47,ece6,ece6,ece6_data / ece6_times,ece6,,ece_te_profile,ECE radiometer channel 6,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
48,ece7,ece7,ece7_data / ece7_times,ece7,,ece_te_profile,ECE radiometer channel 7,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
49,ece8,ece8,ece8_data / ece8_times,ece8,,ece_te_profile,ECE radiometer channel 8,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
50,ece9,ece9,ece9_data / ece9_times,ece9,,ece_te_profile,ECE radiometer channel 9,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
51,ece10,ece10,ece10_data / ece10_times,ece10,,ece_te_profile,ECE radiometer channel 10,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
52,ece11,ece11,ece11_data / ece11_times,ece11,,ece_te_profile,ECE radiometer channel 11,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
53,ece12,ece12,ece12_data / ece12_times,ece12,,ece_te_profile,ECE radiometer channel 12,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
54,ece13,ece13,ece13_data / ece13_times,ece13,,ece_te_profile,ECE radiometer channel 13,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
55,ece14,ece14,ece14_data / ece14_times,ece14,,ece_te_profile,ECE radiometer channel 14,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
56,ece15,ece15,ece15_data / ece15_times,ece15,,ece_te_profile,ECE radiometer channel 15,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
57,ece16,ece16,ece16_data / ece16_times,ece16,,ece_te_profile,ECE radiometer channel 16,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
58,ece17,ece17,ece17_data / ece17_times,ece17,,ece_te_profile,ECE radiometer channel 17,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
59,ece18,ece18,ece18_data / ece18_times,ece18,,ece_te_profile,ECE radiometer channel 18,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
60,ece19,ece19,ece19_data / ece19_times,ece19,,ece_te_profile,ECE radiometer channel 19,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
61,ece20,ece20,ece20_data / ece20_times,ece20,,ece_te_profile,ECE radiometer channel 20,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
62,ece21,ece21,ece21_data / ece21_times,ece21,,ece_te_profile,ECE radiometer channel 21,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
63,ece22,ece22,ece22_data / ece22_times,ece22,,ece_te_profile,ECE radiometer channel 22,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
64,ece23,ece23,ece23_data / ece23_times,ece23,,ece_te_profile,ECE radiometer channel 23,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
65,ece24,ece24,ece24_data / ece24_times,ece24,,ece_te_profile,ECE radiometer channel 24,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
66,ece25,ece25,ece25_data / ece25_times,ece25,,ece_te_profile,ECE radiometer channel 25,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
67,ece26,ece26,ece26_data / ece26_times,ece26,,ece_te_profile,ECE radiometer channel 26,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
68,ece27,ece27,ece27_data / ece27_times,ece27,,ece_te_profile,ECE radiometer channel 27,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
69,ece28,ece28,ece28_data / ece28_times,ece28,,ece_te_profile,ECE radiometer channel 28,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
70,ece29,ece29,ece29_data / ece29_times,ece29,,ece_te_profile,ECE radiometer channel 29,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
71,ece30,ece30,ece30_data / ece30_times,ece30,,ece_te_profile,ECE radiometer channel 30,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
72,ece31,ece31,ece31_data / ece31_times,ece31,,ece_te_profile,ECE radiometer channel 31,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
73,ece32,ece32,ece32_data / ece32_times,ece32,,ece_te_profile,ECE radiometer channel 32,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
74,ece33,ece33,ece33_data / ece33_times,ece33,,ece_te_profile,ECE radiometer channel 33,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
75,ece34,ece34,ece34_data / ece34_times,ece34,,ece_te_profile,ECE radiometer channel 34,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
76,ece35,ece35,ece35_data / ece35_times,ece35,,ece_te_profile,ECE radiometer channel 35,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
77,ece36,ece36,ece36_data / ece36_times,ece36,,ece_te_profile,ECE radiometer channel 36,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
78,ece37,ece37,ece37_data / ece37_times,ece37,,ece_te_profile,ECE radiometer channel 37,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
79,ece38,ece38,ece38_data / ece38_times,ece38,,ece_te_profile,ECE radiometer channel 38,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
80,ece39,ece39,ece39_data / ece39_times,ece39,,ece_te_profile,ECE radiometer channel 39,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
81,ece40,ece40,ece40_data / ece40_times,ece40,,ece_te_profile,ECE radiometer channel 40,keV,domain_authorized,DOMAIN_AUTHORIZED,L^2 M T^-2,domain_authorized,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,0.19999999999998863,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,ECE radiometer electron temperature; requires calibration and an optically-thick emission assumption
82,cerqrott3,cerqrott3,cerqrott3_data / cerqrott3_times,cerqrott3,,cer_rotation_ti,"CER toroidal rotation velocity, channel 3",km/s,documented,LOCAL_DOCUMENTED (units registry),L T^-1,documented,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,10.0,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,CER spectral fit product (rotation velocity / ion temperature)
83,cerqrott6,cerqrott6,cerqrott6_data / cerqrott6_times,cerqrott6,,cer_rotation_ti,"CER toroidal rotation velocity, channel 6",km/s,documented,LOCAL_DOCUMENTED (units registry),L T^-1,documented,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,10.0,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,CER spectral fit product (rotation velocity / ion temperature)
84,cerqrott8,cerqrott8,cerqrott8_data / cerqrott8_times,cerqrott8,,cer_rotation_ti,"CER toroidal rotation velocity, channel 8",km/s,documented,LOCAL_DOCUMENTED (units registry),L T^-1,documented,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,10.0,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,CER spectral fit product (rotation velocity / ion temperature)
85,cerqrott10,cerqrott10,cerqrott10_data / cerqrott10_times,cerqrott10,,cer_rotation_ti,"CER toroidal rotation velocity, channel 10",km/s,documented,LOCAL_DOCUMENTED (units registry),L T^-1,documented,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,10.0,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,CER spectral fit product (rotation velocity / ion temperature)
86,cerqrott11,cerqrott11,cerqrott11_data / cerqrott11_times,cerqrott11,,cer_rotation_ti,"CER toroidal rotation velocity, channel 11",km/s,documented,LOCAL_DOCUMENTED (units registry),L T^-1,documented,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,10.0,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,CER spectral fit product (rotation velocity / ion temperature)
87,cerqrott12,cerqrott12,cerqrott12_data / cerqrott12_times,cerqrott12,,cer_rotation_ti,"CER toroidal rotation velocity, channel 12",km/s,documented,LOCAL_DOCUMENTED (units registry),L T^-1,documented,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,10.0,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,CER spectral fit product (rotation velocity / ion temperature)
88,cerqrott13,cerqrott13,cerqrott13_data / cerqrott13_times,cerqrott13,,cer_rotation_ti,"CER toroidal rotation velocity, channel 13",km/s,documented,LOCAL_DOCUMENTED (units registry),L T^-1,documented,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,10.0,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,CER spectral fit product (rotation velocity / ion temperature)
89,cerqtit3,cerqtit3,cerqtit3_data / cerqtit3_times,cerqtit3,,cer_rotation_ti,"CER ion temperature, channel 3",eV,documented,LOCAL_DOCUMENTED (units registry),L^2 M T^-2,documented,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,10.0,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,CER spectral fit product (rotation velocity / ion temperature)
90,cerqtit6,cerqtit6,cerqtit6_data / cerqtit6_times,cerqtit6,,cer_rotation_ti,"CER ion temperature, channel 6",eV,documented,LOCAL_DOCUMENTED (units registry),L^2 M T^-2,documented,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,10.0,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,CER spectral fit product (rotation velocity / ion temperature)
91,cerqtit8,cerqtit8,cerqtit8_data / cerqtit8_times,cerqtit8,,cer_rotation_ti,"CER ion temperature, channel 8",eV,documented,LOCAL_DOCUMENTED (units registry),L^2 M T^-2,documented,False,signed_or_unknown,DIAGNOSTIC_RECONSTRUCTION,LOCAL_DOCUMENTED,DIAGNOSTIC_RECONSTRUCTION,D:\SIR_paper\DIIID_example\data\resampled_data_v6,62,10.0,1.0,ANALYSIS_SIDE_CODE_VERIFIED; UPSTREAM_RESAMPLE_DOCUMENTED_OPERATION_CODE_ABSENT,CER spectral fit product (rotation velocity / ion temperature)
